ID,Year,Class,Producer,Medalist,Product,Country,Medal,Origin,WID,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2,2013,Cider up to 5.0% ABV,Molson Coors Brewing Company,Carling,Carling British Cider,England,🥇 Gold,,3506,2,0,0,2,2013,2015,2,Active,"<a href=""https://www.carling.com/"">Website</a>","<a href=""https://www.facebook.com/Carling/"">Facebook</a>","<a href=""https://www.instagram.com/carlinguk"">Instagram</a>",,,,"<a href=""https://untappd.com/w/carling/473419"">Untappd</a>"
3,2013,Cider up to 5.0% ABV,Thatchers Cider Ltd,Thatchers Cider,Gold - In Smallpack,England,🥈 Silver,,1119,1,2,2,5,2013,2021,3,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
4,2013,Cider up to 5.0% ABV,Thatchers Cider Ltd,Thatchers Cider,Gold - In Keg,England,🥉 Bronze,,1119,1,2,2,5,2013,2021,3,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
5,2013,Cider 5.1% ABV and above,Thatchers Cider Ltd,Thatchers Cider,Vintage,England,🥇 Gold,,1119,1,2,2,5,2013,2021,3,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
6,2013,Cider 5.1% ABV and above,MacIvors Cider Company,Mac Ivors Cider,Traditional Dry Cider,Northern Ireland,🥈 Silver,,1457,4,1,0,5,2013,2017,3,Active,"<a href=""https://macivors.com/"">Website</a>","<a href=""https://www.facebook.com/macivorsciderco"">Facebook</a>","<a href=""https://www.instagram.com/macivorscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11494220960590509719"">Google</a>",,,"<a href=""https://untappd.com/brewery/39281"">Untappd</a>"
7,2013,Cider 5.1% ABV and above,Heineken UK,Bulmers,Bulmers Vintage Reserve,England,🥉 Bronze,,1250,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
8,2013,Flavoured Cider up to 5.0% ABV,SHS Group Drinks Division,Merrydown,Merrydown & Black,England,🥇 Gold,,3504,1,0,0,1,2013,2013,1,Active,"<a href=""https://www.merrydown.co.uk/"">Website</a>","<a href=""https://www.facebook.com/merrydown.cider/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/merrydown/90875"">Untappd</a>"
9,2013,Flavoured Cider up to 5.0% ABV,AB Abro Bryggeri,Rekorderlig,Rekorderlig Cider Strawberry - Lime,Sweden,🥈 Silver,,3461,0,1,0,1,2013,2013,1,Active,"<a href=""https://www.rekorderlig.se/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=288919773440364044"">Google</a>",,,"<a href=""https://untappd.com/AbroBryggeri"">Untappd</a>"
10,2013,Flavoured Cider up to 5.0% ABV,Heineken UK,Bulmers,Bulmers No. 17 Fruit Cider,England,🥉 Bronze,,1250,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
11,2013,Flavoured Cider 5.1% ABV and above,Redwood Cider Co,Redwood Cider Co.,Old Mout Cider - Passionfruit & Cider,New Zealand,🥇 Gold,,1147,2,0,1,3,2013,2021,3,Active,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
12,2015,Cider Apple Class - Dry,Heineken International,Bulmers,Strongbow British Dry,England,🥇 Gold,"Stassen, Belgium",1250,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
